,CL=F,BZ=F,NG=F,SI=F,HG=F,ZC=F,CT=F,LE=F,KC=F
2593,32.668045,41.582832,1.7857604,17.998507,2.5029874,322.67654,60.92489,95.28384,99.040474
2594,33.636684,42.48953,1.7946032,17.680166,2.5407274,325.70743,61.621796,93.8636,99.920105
2595,34.629112,42.951897,1.7586241,17.585026,2.5716524,329.41757,61.15872,93.92551,100.34247
2596,34.911484,43.57122,1.7475672,17.550966,2.6044579,327.3126,60.833824,95.31143,99.79266
2597,35.71348,43.86106,1.79372,17.535864,2.6500092,325.47354,60.999535,96.49563,98.75707
2598,36.15659,42.87585,1.8172193,17.538795,2.636636,327.4723,60.475243,97.800964,97.71106
2599,37.05506,41.431595,1.7653147,17.45863,2.6318974,326.87152,60.051456,97.536476,96.151245
2600,37.22647,41.622112,1.7181084,17.351215,2.6144595,327.83826,59.13791,97.14326,95.00067
2601,37.921173,41.762306,1.6447653,17.399881,2.5967078,328.33066,59.66504,97.2136,93.89516
2602,39.03086,41.483425,1.6099461,17.491896,2.6065104,329.77118,60.671436,96.36384,95.19749
2603,39.63641,41.79446,1.6103895,17.377079,2.6134434,330.60138,60.837402,95.80306,94.892075
2604,40.100655,42.68312,1.6611053,17.511278,2.6192071,332.115,61.33059,95.068596,94.81141
2605,40.63517,43.16404,1.6571422,17.576729,2.6465333,330.90265,62.17673,95.200066,96.418625
2606,41.008453,43.62059,1.6385791,17.672823,2.6561913,326.23026,62.97213,94.55551,96.86261
2607,40.43477,42.753574,1.631105,17.59609,2.6586561,324.4707,62.328968,94.16468,97.29947
2608,39.816715,42.297527,1.5322027,17.738703,2.6723673,319.26172,62.167267,94.14119,96.4575
2609,39.917908,42.303688,1.4986919,17.874374,2.6768825,316.65494,61.40876,94.444084,96.04808
2610,40.21248,41.80347,1.6426207,17.848013,2.6914728,322.42334,60.192917,95.05158,97.87727
2611,40.121002,42.043983,1.7324545,18.207645,2.7149792,332.79306,60.58979,93.18738,99.531494
2612,40.762207,42.160614,1.6773156,18.254238,2.7303793,343.99518,61.911438,96.72293,101.78067
2613,40.980247,42.586063,1.7141639,18.185888,2.7414343,345.38934,62.7053,99.4989,102.550705
2614,41.14816,43.60311,1.8198771,18.448488,2.7580166,347.7888,62.9749,100.98676,99.19112
2615,41.51638,44.13984,1.8661697,18.615005,2.7796028,345.83722,63.296288,100.999344,99.438614
2616,41.44852,44.465508,1.8530889,18.839914,2.8035386,346.36957,64.268936,100.14668,99.07006
2617,41.181778,44.490776,1.8119202,18.887613,2.8193119,349.5035,63.862476,100.13199,97.99165
2618,40.854065,44.017544,1.8128893,19.019852,2.857685,346.5419,64.339096,99.967674,96.83957
2619,41.085125,43.676086,1.7826335,19.356756,2.903146,341.0306,64.39086,99.91102,96.27881
2620,40.93788,43.925148,1.7546482,19.409544,2.9100783,337.6787,63.38382,99.131805,96.31226
2621,41.129227,43.62354,1.7756552,19.589603,2.898781,331.33548,62.909622,101.13345,96.27764
2622,41.331055,43.418983,1.7612563,19.525564,2.8899455,331.08148,62.788578,103.181946,96.16333
2623,41.298,43.319725,1.7297324,19.64488,2.8908746,334.15854,62.490448,104.18166,99.44557
2624,41.613792,43.596905,1.6412332,19.90152,2.899432,332.88678,62.737267,103.554306,99.59301
2625,42.116356,44.450195,1.6300057,20.298927,2.9106486,329.4454,62.91094,102.75685,100.80593
2626,42.21699,44.7819,1.6592073,20.93341,2.9167647,331.12943,62.77994,102.54162,106.24458
2627,41.86504,44.106644,1.729099,21.3869,2.9189024,332.36407,62.374557,101.61264,107.297195
2628,42.00691,43.703312,1.7886015,21.551676,2.9039116,331.95395,60.956764,101.09022,108.708786
2629,41.994675,43.722183,1.7826773,22.404373,2.891585,331.51666,60.53844,100.30951,109.83394
2630,41.85433,43.29167,1.7921778,22.919868,2.9003718,328.97552,60.45553,100.70692,108.69405
2631,41.964146,43.2968,1.8391131,22.975224,2.908267,323.21902,60.87262,101.80223,110.809616
2632,41.48949,42.95085,1.8575983,23.010622,2.9080904,318.74243,62.05723,102.20414,113.13655
2633,41.02166,43.368507,1.8307499,23.434341,2.8844166,318.00198,62.534817,103.27205,115.889496
2634,41.416416,43.461655,1.9832631,23.77611,2.8934295,318.59985,63.23458,103.34689,117.42127
2635,41.377094,43.6492,2.1357293,24.455431,2.8967896,313.57025,63.888344,102.76703,119.776955
2636,41.8608,44.615242,2.1747222,25.21604,2.901887,313.77002,64.18836,102.84986,121.09633
2637,42.117943,44.69671,2.1637454,26.342312,2.9036317,314.54398,64.559494,102.86825,118.53636
2638,42.01499,44.689583,2.2357545,26.473824,2.8461382,311.63977,63.13279,103.10662,117.20772
2639,42.014923,44.755432,2.2212157,27.66246,2.840235,313.3724,62.273064,103.94321,114.16451
2640,42.346733,44.519634,2.2030106,26.801899,2.8594244,315.8151,62.685677,104.90672,111.703964
2641,42.76687,45.05883,2.1571674,26.085289,2.864097,317.25128,62.17722,106.27558,112.34834
2642,42.88982,45.148987,2.1813898,26.869852,2.835373,326.26898,62.174507,107.22499,115.10985
2643,42.818558,44.732094,2.3062792,26.438742,2.835002,329.91016,62.39647,107.83786,114.67817
2644,43.207844,45.07521,2.3242764,26.588516,2.8624582,333.73813,62.486553,107.52096,116.00883
2645,43.296463,45.14119,2.358564,27.881844,2.9122407,332.49365,62.449715,107.290436,118.70875
2646,43.503044,45.33835,2.4277234,27.305538,2.9749484,329.67523,63.045666,107.67234,118.98017
2647,43.610672,44.99141,2.3815522,26.799765,2.9782095,327.74628,63.891224,107.48171,119.34134
2648,43.420303,44.66426,2.391909,26.486244,2.940222,328.0085,63.987293,106.488434,120.23811
2649,43.497093,44.875534,2.4859602,26.518154,2.9272344,331.4864,64.71018,106.050064,120.319016
2650,43.69114,45.144135,2.4978652,26.053165,2.9234679,338.54047,64.98059,105.98813,122.04877
2651,43.951653,45.165703,2.488501,26.424091,2.9448006,340.519,65.220764,105.07809,122.59312
2652,43.819756,44.914455,2.5613039,26.74104,2.9582143,342.6258,64.917076,104.00534,122.445816
2653,43.91175,44.71308,2.654476,26.48592,2.9663136,343.8107,64.63051,103.500656,124.94272
2654,43.704018,44.842194,2.6383917,27.40974,2.9998078,343.7657,64.56809,104.329796,128.03145
2655,43.6558,44.70863,2.5491564,28.243088,2.9985406,343.06522,64.646286,105.430626,130.7497
2656,43.149933,44.69979,2.4817839,27.130302,2.9987452,342.96454,64.46716,105.00778,131.68861
2657,42.829483,44.26143,2.4577136,26.424084,2.977165,341.11,63.881874,104.72315,131.95906
2658,41.745064,43.612602,2.500317,26.94691,3.0108478,341.71875,64.06095,105.0023,134.04189
2659,39.99568,42.22358,2.4143467,26.289345,3.0174918,343.8183,63.63704,105.854546,133.51318
2660,39.091713,41.521236,2.3812783,26.339928,3.0188627,344.1964,63.339355,105.28125,131.0127
2661,38.34001,40.789196,2.3433945,26.964722,3.0294313,347.69165,63.919952,105.09034,131.63333
2662,37.57762,40.06769,2.2945616,26.656044,3.0325162,352.6084,64.293,105.40645,131.76051
2663,37.361847,39.379013,2.2622604,26.859167,3.0552313,354.09927,64.99035,106.64474,126.46633
2664,37.31962,39.481693,2.3164067,27.008472,3.0519083,358.01108,65.498245,107.43242,123.15613
2665,37.942795,40.56431,2.270895,27.098938,3.0571594,360.28705,65.520584,107.39622,120.50835
2666,39.071793,41.45002,2.1142418,26.117235,3.0703735,364.5749,65.08766,107.50264,118.17648
2667,40.058636,42.15089,2.0474212,27.035183,3.0965667,368.2889,64.47418,107.79783,115.54477
2668,39.857872,41.95879,1.9092337,25.797867,3.0693948,368.0951,64.19803,107.38149,112.97672
2669,40.155365,42.01207,1.845112,24.415796,3.0544474,368.32318,64.20758,106.78768,111.5168
2670,40.608673,42.167206,2.0108805,24.347279,3.0381866,367.14258,63.98593,107.11685,111.10616
2671,40.866535,42.150063,2.1868708,23.329018,2.9995358,364.96872,64.241844,107.94402,111.83212
2672,41.249992,42.358154,2.1465676,23.07686,2.9784243,364.07397,64.6566,108.235275,113.42081
2673,41.528557,42.58082,2.1273713,23.342613,2.9741797,364.1917,64.74135,108.54195,111.692604
2674,40.96306,42.085068,2.4037488,23.77149,2.9735525,364.06058,64.613014,109.15802,111.058685
2675,40.809547,41.670475,2.533779,23.529118,3.0019903,373.60126,64.8356,109.05823,111.64139
2676,40.70751,41.443554,2.5698671,23.537521,2.9351509,377.90762,65.01214,109.1219,108.52781
2677,39.26612,40.706303,2.5094965,23.893084,2.94505,379.25287,64.97184,108.7971,108.9794
2678,39.44435,41.23511,2.5879345,23.618494,2.9683924,379.92465,65.20119,109.131935,107.72026
2679,39.810272,41.63625,2.5904574,23.91684,2.953445,381.42377,65.73013,109.49625,107.6491
2680,39.92296,41.69219,2.6110168,24.01498,3.009855,384.42108,66.36016,110.31827,109.94924
2681,40.377296,42.401207,2.60741,23.876772,3.0162473,385.69482,66.44157,110.31988,109.935684
2682,40.505547,42.15568,2.7351515,24.274101,3.0619602,389.96985,67.314896,110.45888,111.22599
2683,40.18566,41.860516,2.854127,24.897266,3.0590775,388.4293,68.17282,109.59326,111.21277
2684,40.63774,42.211952,2.816302,24.413185,3.0633192,388.0651,68.671814,109.4943,110.95445
2685,41.666504,43.10337,2.6447275,24.43681,3.063465,391.9429,68.95352,109.129875,110.99293
2686,41.66993,43.67199,2.7269106,24.656227,3.0749514,398.11826,69.2661,108.28951,109.81087
2687,41.82329,43.63697,2.7603638,24.16085,3.0878108,399.82693,69.70055,107.82595,108.551926
2688,42.08504,43.35537,2.768896,24.462696,3.0810978,401.29486,70.37187,105.37318,107.10907
2689,41.85154,43.359688,2.8600774,24.785622,3.1314642,404.58966,70.69657,104.83769,105.12346
2690,41.571285,43.0928,2.9530332,25.29985,3.1859255,407.60226,70.86504,104.11635,104.34824
2691,41.672974,42.756073,2.9687932,24.901176,3.1876204,411.1596,71.3742,103.612,105.81137
2692,40.93541,42.310402,2.9850743,25.043747,3.1598005,415.68973,71.32341,103.38492,105.36325
2693,40.27118,41.55278,2.9901776,24.873547,3.1404672,414.56525,71.56287,103.752884,107.04202
2694,40.446423,41.42516,2.966314,24.268528,3.1215854,412.8001,71.79581,104.56171,107.61078
2695,39.57882,40.26463,2.9754481,24.053825,3.1034539,407.39542,71.136116,105.49091,106.66182
2696,37.915665,39.213715,3.1352167,23.538208,3.0798616,400.3618,70.32793,106.16072,105.85601
2697,37.3775,38.054592,3.2447708,23.88038,3.0724924,396.36673,69.633255,106.13583,104.92865
2698,36.857258,37.231766,3.2527485,23.787624,3.081291,395.1086,69.21324,107.9248,103.61015
2699,36.869614,38.39532,3.1511726,23.990171,3.1022677,395.7679,69.69048,107.78341,103.374664
2700,37.662033,39.294655,3.0881183,23.66725,3.0944743,397.7553,70.10043,107.67469,103.18056
2701,38.36346,40.039238,2.9691877,24.364912,3.1137226,401.78564,70.14101,107.965614,104.69704
2702,37.66519,40.05224,2.8935647,25.335466,3.139042,401.57397,69.4006,108.217445,106.31257
2703,39.082397,41.186115,2.7898054,24.185116,3.143926,402.58743,69.58052,110.90061,106.925095
2704,40.354874,42.847603,2.8554878,24.240002,3.1488004,410.81073,69.77227,111.72728,107.72128
2705,40.89319,43.663673,2.9826567,24.367792,3.152752,412.78708,69.532295,112.52523,108.8562
2706,41.606712,44.21724,2.9877176,24.22608,3.1485531,407.1456,68.93495,112.424545,109.759026
2707,41.819466,43.85086,2.9904644,24.461521,3.1728,406.82553,68.64639,110.916756,109.869865
2708,41.771255,44.029404,2.8249168,25.02248,3.1990047,408.27795,69.04778,110.902985,113.25676
2709,42.676453,44.442738,2.7280867,24.800621,3.2013698,412.54074,69.08147,111.13279,115.28353
2710,43.201187,44.784355,2.6899118,24.437233,3.2047987,418.0604,69.47837,110.931114,117.9073
2711,42.74379,44.938263,2.6075978,24.359922,3.2075193,417.52298,69.45787,109.30459,119.52626
2712,42.942062,45.221325,2.608552,24.258383,3.2502177,416.37646,70.28378,108.73471,117.15784
2713,43.3068,45.394276,2.6827745,23.962303,3.2628634,419.30026,71.31616,109.90226,115.26555
2714,44.095993,46.67508,2.7623081,23.477758,3.282194,421.36765,71.65724,111.192505,113.64989
2715,44.942528,47.848503,2.861164,23.512547,3.3105347,418.86557,71.47718,111.71881,113.59801
2716,45.363976,47.906387,2.8466394,22.981466,3.356691,419.78088,71.82913,111.515755,119.111176
2717,45.6015,47.878967,2.854215,22.639957,3.3885026,420.3913,71.08452,111.240524,120.51967
2718,45.49858,47.685623,2.874698,23.392624,3.4151852,416.04053,70.85443,111.17828,117.97121
2719,46.04931,48.047752,2.813649,23.442238,3.4397018,416.57727,70.766754,111.18365,117.82471
2720,46.268913,48.56707,2.6270752,23.674229,3.4496167,420.2796,70.265205,110.16092,117.5877
2721,46.72042,48.86012,2.5859475,23.933962,3.470776,418.96735,70.07855,109.29524,116.086784
2722,46.97218,48.828217,2.4835842,24.26796,3.4779253,418.25574,70.45962,108.7426,116.7347
2723,46.902832,49.10182,2.4452677,24.461077,3.4751112,416.73926,70.569244,108.2643,116.75656
2724,46.777092,49.497917,2.4463217,24.071327,3.490308,419.11176,71.924805,107.850174,116.04483
2725,46.486835,49.713608,2.510668,24.06972,3.523774,419.50018,73.50048,107.96059,117.59744
2726,46.816418,49.922543,2.5484595,24.175686,3.5236278,422.39502,73.81177,108.7017,118.448456
2727,46.908012,50.074226,2.6271532,24.386793,3.5164478,421.66754,74.21314,109.554955,120.986176
2728,47.35997,50.65499,2.6744788,24.447258,3.5327327,421.53317,75.17168,109.39375,122.307846
2729,47.596848,50.82963,2.690575,24.511055,3.543295,425.67178,75.46114,109.33066,123.915184
2730,47.74801,50.894905,2.6837595,25.48346,3.5670357,429.50336,76.10369,109.554825,124.6733
2731,48.389717,51.39145,2.7175584,25.80954,3.5933454,432.8959,76.507416,110.11656,124.45813
2732,48.53447,51.24389,2.7379358,25.96288,3.5903058,437.3058,75.70267,110.560135,124.62397
2733,48.271645,50.89959,2.7799292,25.898148,3.5567234,441.3644,75.08434,110.47261,123.99691
2734,48.490223,51.21152,2.7038074,25.939655,3.5585215,442.08804,75.275406,111.50979,124.08063
2735,48.474716,51.439774,2.5741143,25.890255,3.5607138,446.169,75.57277,112.00541,125.001495
2736,48.32425,51.448757,2.3742204,26.101292,3.5647414,449.74295,75.764275,112.86633,123.211784
2737,48.5605,51.458176,2.4011734,26.401203,3.566285,457.20105,76.41422,112.567566,124.07557
2738,48.55629,51.57498,2.3758993,26.722351,3.564554,464.31354,77.00757,112.47562,124.8463
2739,48.565014,51.54348,2.4346113,26.565865,3.5414324,473.32935,77.35979,113.09486,126.700195
2740,48.451527,51.318443,2.5359473,26.90306,3.5511825,476.21994,77.955864,112.71506,126.940186
2741,48.83409,52.22003,2.6469545,27.24076,3.6152344,483.24707,78.97521,114.424995,125.82195
2742,49.394547,53.210518,2.7216897,26.938751,3.6502638,488.18442,79.40545,115.034615,122.99811
2743,50.118553,53.762665,2.7677393,27.085106,3.6881192,490.3506,79.234055,115.553734,121.29098
